location,latitude,longitude
"Brooklyn,Sunset Park West",40.65272,-74.00933479999999
"Brooklyn,Bushwick North",40.6957755,-73.9170604
"Queens,Woodside",40.7532952,-73.9068973
"Manhattan,East Village",40.7264773,-73.98153370000001
"Brooklyn,East Flatbush/Remsen Village",40.65281299999999,-73.9199721
"Brooklyn,Stuyvesant Heights",40.6824166,-73.9319933
"Queens,Elmhurst/Maspeth",40.73940350000001,-73.8779431
"Queens,Elmhurst",40.73940350000001,-73.8779431
"Queens,Astoria",40.7643574,-73.92346189999999
"Brooklyn,East Flatbush/Farragut",40.6374807,-73.946321
"Brooklyn,Prospect-Lefferts Gardens",40.6592355,-73.9533895
"Brooklyn,Bushwick South",40.6957755,-73.9170604
"Queens,Sunnyside",40.7432759,-73.9196324
"Queens,Steinway",40.7745459,-73.9037477
"Queens,Jackson Heights",40.7556818,-73.8830701
"Manhattan,Hamilton Heights",40.8252793,-73.94761390000001
"Brooklyn,Williamsburg (South Side)",40.70824229999999,-73.9571487
"Brooklyn,Bedford",40.6872176,-73.9417735
"Brooklyn,Williamsburg (North Side)",40.7081156,-73.9570696
"Brooklyn,Gowanus",40.6751161,-73.9879753
"Manhattan,Two Bridges/Seward Park",40.7107469,-73.99696
"Brooklyn,Carroll Gardens",40.6795331,-73.9991637
"Manhattan,Morningside Heights",40.8105443,-73.9620581
"Manhattan,Manhattanville",40.8169443,-73.9558333
"Manhattan,Central Harlem",40.8089419,-73.9482305
"Manhattan,Central Harlem North",40.8089419,-73.9482305
"Manhattan,Midtown Center",40.7530471,-73.992497
"Brooklyn,Crown Heights North",40.6694022,-73.9422324
"Manhattan,Lenox Hill East",40.7637152,-73.9709963
"Bronx,Mott Haven/Port Morris",40.8022025,-73.9166051
"Brooklyn,Downtown Brooklyn/MetroTech",40.6939649,-73.9843387
"Brooklyn,Prospect Heights",40.6774196,-73.9668408
"Brooklyn,Park Slope",40.6710672,-73.98142279999999
"Manhattan,West Chelsea/Hudson Yards",40.7523775,-73.99826159999999
"Brooklyn,Erasmus",40.6781784,-73.9441579
"Brooklyn,Brownsville",40.665214,-73.9125304
"Queens,Corona",40.7449859,-73.8642613
"Brooklyn,Clinton Hill",40.6896834,-73.9661144
"Brooklyn,East Williamsburg",40.7141953,-73.9316461
"Bronx,West Concourse",40.8519547,-73.90070899999999
"Manhattan,East Harlem South",40.7957399,-73.93892129999999
"Brooklyn,Brooklyn Heights",40.6959294,-73.9955523
"Queens,Long Island City/Queens Plaza",40.7510545,-73.940428
"Manhattan,East Chelsea",40.7465004,-74.00137370000002
"Queens,Middle Village",40.717372,-73.87425
"Brooklyn,Greenpoint",40.7304701,-73.95150319999999
"Brooklyn,Cobble Hill",40.686536,-73.9962255
"Manhattan,Washington Heights South",40.8417082,-73.9393554
"Manhattan,Inwood",40.8677145,-73.9212019
"Bronx,Soundview/Bruckner",40.8247566,-73.8710929
"Bronx,West Farms/Bronx River",40.8430609,-73.8816001
"Bronx,Hunts Point",40.8094385,-73.8803315
"Queens,Old Astoria",40.7643574,-73.92346189999999
"Brooklyn,Windsor Terrace",40.6539346,-73.9756567
"Brooklyn,Boerum Hill",40.6848689,-73.9844722
"Queens,Queensboro Hill",40.7445911,-73.8258135
"Queens,North Corona",40.7543725,-73.8669188
"Queens,Kew Gardens Hills",40.724707,-73.8207618
"Manhattan,Alphabet City",40.7258428,-73.9774916
"Manhattan,TriBeCa/Civic Center",40.7162692,-74.0086323
"Manhattan,Little Italy/NoLiTa",40.7209356,-73.9959726
"Manhattan,Upper West Side North",40.7870106,-73.9753676
"Queens,Richmond Hill",40.6999853,-73.8310309
"Manhattan,SoHo",40.7245908,-74.00191740000001
"Manhattan,World Trade Center",40.7118011,-74.0131196
"Brooklyn,Flatbush/Ditmas Park",40.6414876,-73.9593998
"Brooklyn,Bay Ridge",40.6263732,-74.0298767
"Brooklyn,Prospect Park",40.6602037,-73.9689558
"Brooklyn,Columbia Street",40.6775239,-74.0063441
"Manhattan,Gramercy",40.7367783,-73.9844722
"Manhattan,Yorkville East",40.7762231,-73.94920789999999
"Manhattan,Washington Heights North",40.852476,-73.9342996
"Queens,Murray Hill-Queens",40.7634996,-73.8073261
"Manhattan,Flatiron",40.740083,-73.9903489
"Queens,East Elmhurst",40.7660427,-73.8758704
"Manhattan,Yorkville West",40.7762231,-73.94920789999999
"Manhattan,Clinton West",40.7606955,-73.9949705
"Brooklyn,Fort Greene",40.6920638,-73.97418739999999
"Brooklyn,Flatlands",40.6232714,-73.9321664
"Bronx,Highbridge",40.836916,-73.9271294
"Brooklyn,Bensonhurst West",40.6139307,-73.9921833
"Manhattan,Greenwich Village North",40.7335719,-74.0027418
"Queens,Long Island City/Hunters Point",40.7485587,-73.94964639999999
"Queens,Woodhaven",40.6901366,-73.8566087
"Queens,Jamaica",40.7037439,-73.7991953
"Queens,Maspeth",40.7294018,-73.9065883
"Queens,LaGuardia Airport",40.7769271,-73.8739659
"Queens,Bay Terrace/Fort Totten",40.7920899,-73.7760996
"Manhattan,Lower East Side",40.715033,-73.9842724
"Manhattan,Union Sq",40.7358633,-73.9910835
"Bronx,Mount Hope",40.8488863,-73.9051185
"Bronx,East Tremont",40.8453781,-73.8909693
"Queens,Flushing",40.7647238,-73.8306716
"Queens,Jamaica Estates",40.7179512,-73.783822
"Bronx,Parkchester",40.8382522,-73.8566087
"Unknown,NV",38.8026097,-116.419389
"Manhattan,Sutton Place/Turtle Bay North",40.7576281,-73.961698
"Brooklyn,Bath Beach",40.6038852,-74.0062078
"Manhattan,Meatpacking/West Village West",40.7409865,-74.0076108
"Manhattan,UN/Turtle Bay South",40.7571432,-73.9718815
"Manhattan,Penn Station/Madison Sq West",40.7505045,-73.9934387
"Manhattan,East Harlem North",40.7957399,-73.93892129999999
"Manhattan,Upper East Side South",40.7735649,-73.9565551
"Manhattan,Manhattan Valley",40.7966989,-73.9684247
"Bronx,Van Cortlandt Village",40.8837203,-73.89313899999999
"Bronx,Bedford Park",40.8700999,-73.8856912
"Bronx,Bronxdale",40.8506558,-73.86652409999999
"Manhattan,Upper West Side South",40.7870106,-73.9753676
"Queens,Glendale",40.7016662,-73.8842219
"Bronx,Melrose South",40.824545,-73.9104143
"Manhattan,Lincoln Square West",40.7788349,-73.98267779999999
"Manhattan,Midtown East",40.7571432,-73.9718815
"Manhattan,Battery Park City",40.7115786,-74.0158441
"Manhattan,Murray Hill",40.7478792,-73.9756567
"Queens,Forest Hills",40.718106,-73.8448469
"Queens,Briarwood/Jamaica Hills",40.7135548,-73.796488
"Manhattan,Central Park",40.7825547,-73.9655834
"Queens,Ridgewood",40.7043986,-73.9018292
"Manhattan,Financial District North",40.7077143,-74.00827869999999
"Brooklyn,East New York",40.6590529,-73.8759245
"Brooklyn,Bensonhurst East",40.6139307,-73.9921833
"Brooklyn,Kensington",40.63852019999999,-73.97318729999999
"Bronx,Morrisania/Melrose",40.824545,-73.9104143
"Queens,Rego Park",40.72557219999999,-73.8624893
"Bronx,Westchester Village/Unionport",40.83034079999999,-73.8506737
"Manhattan,Roosevelt Island",40.76050310000001,-73.9509934
"Manhattan,Kips Bay",40.74232920000001,-73.9800645
"Bronx,Kingsbridge Heights",40.8711235,-73.8976328
"Queens,Baisley Park",40.6737751,-73.786025
"Bronx,East Concourse/Concourse Village",40.8233657,-73.9200505
"Bronx,Longwood",40.8248438,-73.8915875
"Manhattan,Clinton East",40.7637581,-73.9918181
"Queens,Queensbridge/Ravenswood",40.7556711,-73.9456723
"Bronx,Soundview/Castle Hill",40.8202298,-73.8582283
"Brooklyn,Crown Heights South",40.6694022,-73.9422324
"Queens,Hillcrest/Pomonok",40.732341,-73.81077239999999
"Manhattan,Lenox Hill West",40.7662315,-73.9602312
"Bronx,Eastchester",40.8859837,-73.82794710000002
"Manhattan,Midtown South",40.7521795,-73.9875438
"Bronx,Norwood",40.8810341,-73.878486
"Queens,Bayside",40.7602604,-73.7692026
"Manhattan,Upper East Side North",40.76408319999999,-73.95602699999999
"Bronx,Spuyten Duyvil/Kingsbridge",40.8818964,-73.9045668
"Queens,East Flushing",40.7540534,-73.8086418
"Brooklyn,Red Hook",40.6733676,-74.00831889999999
"Manhattan,West Village",40.73468,-74.0047554
"Brooklyn,Brooklyn Navy Yard",40.6991765,-73.97158379999999
"Bronx,Claremont/Bathgate",40.8412834,-73.9001573
"Queens,Springfield Gardens North",40.6715916,-73.779798
"Manhattan,Marble Hill",40.8761173,-73.9102628
"Bronx,Pelham Bay",40.8505556,-73.83333329999999
"Bronx,Van Nest/Morris Park",40.8460808,-73.8620341
"Bronx,Woodlawn/Wakefield",40.8976347,-73.8668996
"Queens,College Point",40.786395,-73.8389657
"Brooklyn,South Williamsburg",40.7043921,-73.9565551
"Brooklyn,DUMBO/Vinegar Hill",40.70371859999999,-73.98226830000002
"Manhattan,Financial District South",40.7011942,-74.0141831
"Bronx,University Heights/Morris Heights",40.8540855,-73.9198498
"Bronx,Bronx Park",40.8566875,-73.8758125
"Manhattan,Highbridge Park",40.8537599,-73.9257492
"Manhattan,Bloomingdale",40.7988958,-73.9697795
"Brooklyn,Ocean Hill",40.6782737,-73.9108212
"Manhattan,Greenwich Village South",40.7335719,-74.0027418
"Bronx,Allerton/Pelham Gardens",40.8653022,-73.8468281
"Bronx,Pelham Parkway",40.8553279,-73.8639594
"Brooklyn,Midwood",40.6204388,-73.95997779999999
"Queens,Kew Gardens",40.705695,-73.8272029
"Brooklyn,East New York/Pennsylvania Avenue",40.6566541,-73.8890955
"Manhattan,Hudson Sq",40.7830603,-73.9712488
"Brooklyn,Marine Park/Mill Basin",40.6113817,-73.93318649999999
"Bronx,Fordham South",40.8592667,-73.8984694
"Bronx,Belmont",40.8534507,-73.88936819999999
"Manhattan,Lincoln Square East",40.7741769,-73.98491179999999
"Bronx,Schuylerville/Edgewater Park",40.8235967,-73.81029269999999
"Brooklyn,Dyker Heights",40.6167679,-74.0183
"Manhattan,Inwood Hill Park",40.8721829,-73.924776
"Queens,JFK Airport",40.6446245,-73.7797035
"Queens,South Jamaica",40.6808594,-73.7919103
"Brooklyn,Cypress Hills",40.6836873,-73.87963309999999
"Bronx,Williamsbridge/Olinville",40.8550982,-73.8551072
"Queens,Hollis",40.7112203,-73.762495
"Brooklyn,Sunset Park East",40.65272,-74.00933479999999
"Queens,Hammels/Arverne",40.5899232,-73.8065156
"Bronx,Crotona Park",40.8365344,-73.8933509
"Bronx,Co-Op City",40.8738889,-73.82944440000001
"Bronx,Crotona Park East",40.8365344,-73.8933509
"Queens,Springfield Gardens South",40.6715916,-73.779798
"Manhattan,Stuy Town/Peter Cooper Village",40.7316903,-73.9778494
"Queens,South Ozone Park",40.6764003,-73.8124984
"Queens,Ozone Park",40.6806669,-73.844659
"Bronx,Van Cortlandt Park",40.8972233,-73.8860668
"Brooklyn,Canarsie",40.6402325,-73.9060579
"Brooklyn,Homecrest",40.6004787,-73.9565551
"Manhattan,Seaport",40.70722629999999,-74.0027431
"Brooklyn,Sheepshead Bay",40.5953955,-73.94575379999999
"Brooklyn,Manhattan Beach",40.57815799999999,-73.93892129999999
"Brooklyn,Borough Park",40.6350319,-73.9921028
"Manhattan,Chinatown",40.7157509,-73.9970307
"Brooklyn,Coney Island",40.5755438,-73.9707016
"Brooklyn,Gravesend",40.5968007,-73.9749909
"Brooklyn,Madison",40.60688529999999,-73.947958
"Manhattan,Midtown North",40.7549309,-73.9840195
"Brooklyn,Ocean Parkway South",40.612878,-73.9683862
"Queens,Whitestone",40.7920449,-73.8095574
"Brooklyn,Starrett City",40.6484272,-73.88236119999999
"Queens,Forest Park/Highland Park",40.7282239,-73.7948516
"Queens,Saint Albans",40.6895283,-73.76436880000001
"Queens,Far Rockaway",40.5998931,-73.74484369999999
"Manhattan,Times Sq/Theatre District",40.7592262,-73.9846269
"Brooklyn,Brighton Beach",40.5780706,-73.9596565
"Queens,Queens Village",40.7156628,-73.7419017
"Queens,Fresh Meadows",40.7335179,-73.7801447
"Queens,Flushing Meadows-Corona Park",40.7400275,-73.8406953
"Bronx,Pelham Bay Park",40.8667516,-73.81011029999999
"Bronx,Country Club",40.8391667,-73.8197222
"Queens,Douglaston",40.76401509999999,-73.7433727
"Brooklyn,Green-Wood Cemetery",40.6579777,-73.9940634
"Queens,Auburndale",40.7577672,-73.78339609999999
"Bronx,Riverdale/North Riverdale/Fieldston",40.9090464,-73.90364869999999
"Queens,Bellerose",40.73576389999999,-73.7271909
"Staten Island,Grymes Hill/Clifton",40.6189726,-74.0784785
"Queens,Oakland Gardens",40.7408584,-73.758241
"Queens,Astoria Park",40.7785364,-73.92283359999999
"Queens,Saint Michaels Cemetery/Woodside",40.7646761,-73.89850419999999
"Queens,Howard Beach",40.6571222,-73.8429989
"Manhattan,Garment District",40.7547072,-73.9916342
"Queens,Laurelton",40.67764,-73.7447853
"Queens,Rosedale",40.6575584,-73.7330753
"Staten Island,South Beach/Dongan Hills",40.5844636,-74.0934792
"Queens,Glen Oaks",40.7500305,-73.7163805
"Staten Island,Saint George/New Brighton",40.6474251,-74.0889251
"Staten Island,West Brighton",40.6270298,-74.10931409999999
"Staten Island,Stapleton",40.6264929,-74.07764139999999
"Queens,Rockaway Park",40.57978629999999,-73.8372237
"Manhattan,Randalls Island",40.7932271,-73.92128579999999
"EWR,Newark Airport",40.6895314,-74.1744624
"Bronx,City Island",40.8468202,-73.7874983
"Queens,Cambria Heights",40.692158,-73.7330753
"Queens,Breezy Point/Fort Tilden/Riis Beach",40.5616379,-73.8953425
"Brooklyn,Marine Park/Floyd Bennett Field",40.5910174,-73.89060909999999
"Staten Island,Arrochar/Fort Wadsworth",40.6012117,-74.0579185
"Staten Island,Heartland Village/Todt Hill",40.5908869,-74.1585424
"Staten Island,Mariners Harbor",40.63677010000001,-74.1587547
"Staten Island,Port Richmond",40.6339267,-74.13606519999999
"Manhattan,Battery Park",40.7115786,-74.0158441
"Staten Island,Arden Heights",40.556413,-74.1735044
"Staten Island,Bloomfield/Emerson Hill",40.6074525,-74.0963115
"Staten Island,Eltingville/Annadale/Prince's Bay",40.52899439999999,-74.197644
"Staten Island,Oakwood",40.563994,-74.1159754
"Staten Island,Westerleigh",40.616296,-74.1386767
"Queens,Jamaica Bay",40.6056632,-73.8713099
"Queens,Broad Channel",40.6158335,-73.8213213
"Staten Island,Charleston/Tottenville",40.5083408,-74.23554039999999
"Queens,Willets Point",40.7606911,-73.840436
"Staten Island,Great Kills",40.5543273,-74.156292
"Staten Island,New Dorp/Midland Beach",40.5739937,-74.1159755
"Staten Island,Freshkills Park",40.5642714,-74.186255
"Staten Island,Rossville/Woodrow",40.542186,-74.2036121
